"Datums","Sasniedzamais rezultāts","Uzdots","Temats","Kopsavilkums"
"1.09.2025","Monomi.
SR: Atpazīst monomus starp dažādām matemātiskām izteiksmēm. Nosaka monomam pretēju, līdzīgu monomu. Nosaka, vai monoms ir uzrakstīts normālformā. Nosaka dotā monoma koeficientu un pakāpi. Aprēķina izteiksmes vērtību.",,"Monomi un polinomi. ","1.temats"
"2.09.2025","Monomi.
SR: Atpazīst monomus starp dažādām matemātiskām izteiksmēm. Nosaka monomam pretēju, līdzīgu monomu. Nosaka, vai monoms ir uzrakstīts normālformā. Nosaka dotā monoma koeficientu un pakāpi. Aprēķina izteiksmes vērtību.",,"Monomi un polinomi. ","1.temats"
"4.09.2025","Monomi.
SR: Atpazīst monomus starp dažādām matemātiskām izteiksmēm. Nosaka monomam pretēju, līdzīgu monomu. Nosaka, vai monoms ir uzrakstīts normālformā. Nosaka dotā monoma koeficientu un pakāpi. Aprēķina izteiksmes vērtību.",,"Monomi un polinomi. ","1.temats"
"4.09.2025","Monomi.
SR: Atpazīst monomus starp dažādām matemātiskām izteiksmēm. Nosaka monomam pretēju, līdzīgu monomu. Nosaka, vai monoms ir uzrakstīts normālformā. Nosaka dotā monoma koeficientu un pakāpi. Aprēķina izteiksmes vērtību.",,"Monomi un polinomi. ","1.temats"
"5.09.2025","Monomi.
SR: Atpazīst monomus starp dažādām matemātiskām izteiksmēm. Nosaka monomam pretēju, līdzīgu monomu. Nosaka, vai monoms ir uzrakstīts normālformā. Nosaka dotā monoma koeficientu un pakāpi. Aprēķina izteiksmes vērtību.","Nepieciešama mapīte izdales materiāliem un likumu klade (ja tāda nav saglabājusies no pagājušā gada).
 Monomi_1.pptx
8.09.2025","Monomi un polinomi. ","1.temats"
"5.09.2025","Monomi.
SR: Atpazīst monomus starp dažādām matemātiskām izteiksmēm. Nosaka monomam pretēju, līdzīgu monomu. Nosaka, vai monoms ir uzrakstīts normālformā. Nosaka dotā monoma koeficientu un pakāpi. Aprēķina izteiksmes vērtību.",,"Monomi un polinomi. ","1.temats"
"8.09.2025","Darbības ar monomiem.
SR: Pārveido izteiksmes, veicot darbības ar monomiem.","Stundā: 8. - 12. uzd. no izdales lapām
 UZD_Monomi_Darbības ar monomiem.pdf
9.09.2025","Monomi un polinomi. ","1.temats"
"9.09.2025","Darbības ar monomiem.
SR: Pārveido izteiksmes, veicot darbības ar monomiem.","Atbilžu iesūtīšana25
Mājās: Pabeigt 2. un 3. uzd. no darba lapas
 DL25_Darbības ar monomiem 2.docx
11.09.2025","Monomi un polinomi. ","1.temats"
"11.09.2025","Darbības ar monomiem.
SR: Pārveido izteiksmes, veicot darbības ar monomiem.","Mājās: Pabeigt darba lapu ""Darbības ar monomiem""
 DL25_Darbības ar monomiem 2.docx
12.09.2025","Monomi un polinomi. ","1.temats"
"11.09.2025","Polinomi.
SR: Zina, kas ir polinoms, binoms, trinoms, polinoma locekļi, polinoma pakāpe. Aprēķina polinoma skaitlisko vērtību."," Teorija_Polinomi.pptx
12.09.2025","Monomi un polinomi. ","1.temats"
"12.09.2025","Polinomu saskaitīšana un atņemšana.
SR: Saskaita un atņem polinomus, izvēloties ērtāko pierakstu.","Stundā: Darba lapa no 1. līdz 8. uzd.
 DL25_Polinomu saskaitīšana un atņemšana.docx
15.09.2025","Monomi un polinomi. ","1.temats"
"12.09.2025","Polinomu saskaitīšana un atņemšana.
SR: Saskaita un atņem polinomus, izvēloties ērtāko pierakstu."," DL_darbibas ar monomiem_ATBILDES.pdf
 DL_Polinomu saskaitīšana un atņemšana_ATBILDES.pdf
15.09.2025","Monomi un polinomi. ","1.temats"
"15.09.2025","(KVD Polinomu saskaitīšana un atņemšana)
Polinoma reizināšana ar monomu.
SR: Reizina polinomu ar monomu.","Stundā: Darba lapa ""Polinomu reizināšana ar monomu""
 DL25_Polinoma reizināšana un dalīšana ar monomu.docx
 P23_Polinomu reizināšana un dalīšana.pptx
16.09.2025","Monomi un polinomi. ","1.temats"
"16.09.2025","Polinoma dalīšana ar monomu.
SR: Dala polinomu ar monomu.","Stundā: Darba lapa ""Polinomu dalīšana ar monomu""
 DL25_Polinoma reizināšana un dalīšana ar monomu.docx
 P23_Polinomu reizināšana un dalīšana.pptx
18.09.2025","Monomi un polinomi. ","1.temats"
"18.09.2025","Polinoma reizināšana ar polinomu.
SR: Reizina polinomu ar polinomu."," DL23_polinomu reizināšana ar polinomu vienadojumi.docx
19.09.2025","Monomi un polinomi. ","1.temats"
"18.09.2025","Polinoma reizināšana ar polinomu.
SR: Reizina polinomu ar polinomu.",,"Monomi un polinomi. ","1.temats"
"19.09.2025","(KVD Polinomu reizināšana un dalīšana)
Vienādojumu un nevienādību atrisināšana.
SR: Vienkāršo izteiksmes, izmantojot polinomu reizināšanu. Izmanto darbības ar monomiem un polinomiem, atrisinot lineārus vienādojumus un nevienādības.","Stundā: Darba lapa
 DL25_vienodājumi un nevienādības.docx
22.09.2025","Monomi un polinomi. ","1.temats"
"19.09.2025","Vienādojumu un nevienādību atrisināšana.
SR: Vienkāršo izteiksmes, izmantojot polinomu reizināšanu. Izmanto darbības ar monomiem un polinomiem, atrisinot lineārus vienādojumus un nevienādības.",,"Monomi un polinomi. ","1.temats"
