"Datums","Sasniedzamais rezultāts","Uzdots","Temats","Kopsavilkums"
"1.09.2025","Skaitļu virknes. SR: zina, kas ir skaitļu virkne; kādi apzīmējumi tiek lietori skaitļu virknes pierakstīšanai.
https://app.soma.lv/v2/e-gramatas/matematika-9-klasei-3-dala/pdf?page=...",,"Virknes un progresijas.","1.temats"
"1.09.2025","Skaitļu virknes. SR: zina, kas ir skaitļu virkne; kādi apzīmējumi tiek lietori skaitļu virknes pierakstīšanai.",,"Virknes un progresijas.","1.temats"
"1.09.2025","Skaitļu virknes. SR: zina, kas ir skaitļu virkne; kādi apzīmējumi tiek lietori skaitļu virknes pierakstīšanai.",,"Virknes un progresijas.","1.temats"
"2.09.2025","Virknes. SR: prot pierakstīt vārdiski dotu skaitļu virkni.
https://app.soma.lv/v2/e-gramatas/matematika-9-klasei-3-dala/pdf?page=...","https://app.soma.lv/v2/e-gramatas/matematika-9-klasei-3-dala/pdf?page=...
Izlasīt teorētisko materiālu no 99.-104.lpp.
5.09.2025","Virknes un progresijas.","1.temats"
"3.09.2025","Virknes. SR: prot pierakstīt vārdiski dotu skaitļu virkni.",,"Virknes un progresijas.","1.temats"
"5.09.2025","Virknes pieraksta veidi. SR: prot aprēķināt virknes loceklūs, ka virkne ir uzdota rekurenti.
https://app.soma.lv/v2/e-gramatas/matematika-9-klasei-3-dala/pdf?page=...","pierakstu kladē pabeigt risināt 13.; 14.; 15.; 16.uzdevumu (105.lpp.)
https://app.soma.lv/v2/e-gramatas/matematika-9-klasei-3-dala/pdf?page=...
8.09.2025","Virknes un progresijas.","1.temats"
"8.09.2025","Virknes pieraksta veidi. SR: prot aprēķināt virknes locekļus, ka virkne ir dota vispārīgaā locekļa formula; prot attēlot virkni grafiski.
https://app.soma.lv/v2/e-gramatas/matematika-9-klasei-3-dala/pdf?page=...",,"Virknes un progresijas.","1.temats"
"8.09.2025","Virknes pieraksta veidi. SR: atbilstoši aprakstam, prot izveidot virknes vispārīgā locekļa formulu.",,"Virknes un progresijas.","1.temats"
"8.09.2025","Skaitļu virknes īpašības. SR: nosaka virknes īpašības.","7.; 8.c; 9.ac; 11.; 12.; 13. (110.lpp.)
https://app.soma.lv/v2/e-gramatas/matematika-9-klasei-3-dala/pdf?page=...
9.09.2025","Virknes un progresijas.","1.temats"
"9.09.2025","Virknes pieraksta veidi. Virknes pieraksta veidi. SR: prot aprēķināt virknes locekļus, ka virkne ir uzdota rekurenti vai ar vispārīgā locekļa formulu; nosaka, vai dotais skaitlis ir virknes loceklis; uzraksta virknes vispārīgā locekļa formulu.","1.; 5.; 6 (115.lpp.)
https://app.soma.lv/v2/e-gramatas/matematika-9-klasei-3-dala/pdf?page=...
10.09.2025","Virknes un progresijas.","1.temats"
"10.09.2025","Virknes īpašības. SR: nosaka un pierāda, ka virkne ir augoša (dilstoša).","skatīt pievienoto failu
 9kl-MD-10sept.pdf
12.09.2025","Virknes un progresijas.","1.temats"
"12.09.2025","Aritmētiskā progresija. SR: zina, kādu virkni sauc par aritmētisko progresiju, prot aprēķināt diferenci un prasītos virknes locekļus.
https://app.soma.lv/v2/e-gramatas/matematika-9-klasei-3-dala/pdf?page=...","3.ac; 6.a; 7.a; 9.c; 10.d; 11.b; 12.; 13.; 14.c (121.lpp.)
https://app.soma.lv/v2/e-gramatas/matematika-9-klasei-3-dala/pdf?page=...
15.09.2025","Virknes un progresijas.","1.temats"
"15.09.2025","Aritmētiskā progresija. SR: pierāda, ka dotā virkne ir aritmētiskā progresija.
https://app.soma.lv/v2/e-gramatas/matematika-9-klasei-3-dala/pdf?page=...",,"Virknes un progresijas.","1.temats"
