program_id,concept_label,confidence,topic_id,topic_title,first_taught_date,first_taught_week,first_taught_month,taught_until_date,taught_until_week,last_tested_date
lv.avg.2025-26.7a,PointLineSegmentRay,1.0,lv.avg.2025-26.7a#T01,"Ievads planimetrijā: punkts, taisne, stars, nogrieznis, plakne.",2025-09-01,1,9,2025-09-23,4,2025-09-12
lv.avg.2025-26.7a,LengthDistance,0.9,lv.avg.2025-26.7a#T01,"Ievads planimetrijā: punkts, taisne, stars, nogrieznis, plakne.",2025-09-01,1,9,2025-09-23,4,2025-09-12
lv.avg.2025-26.7a,CircleAndDisk,0.9,lv.avg.2025-26.7a#T01,"Ievads planimetrijā: punkts, taisne, stars, nogrieznis, plakne.",2025-09-01,1,9,2025-09-23,4,2025-09-12
lv.avg.2025-26.7a,Angle,1.0,lv.avg.2025-26.7a#T02,"Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.",2025-09-23,4,9,2025-10-14,7,2025-10-07
lv.avg.2025-26.7a,ParallelPerpendicular,0.9,lv.avg.2025-26.7a#T02,"Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.",2025-09-23,4,9,2025-10-14,7,2025-10-07
lv.avg.2025-26.7a,VariableExpression,1.0,lv.avg.2025-26.7a#T03,Skaitliskas un algebriskas izteiksmes: No teksta sastāda atbilstošu izteiksmi.,2025-10-17,7,10,2025-11-07,10,2025-10-31
lv.avg.2025-26.7a,LinearEquation,1.0,lv.avg.2025-26.7a#T04,"Lineāri vienādojumi, to lietojums teksta uzdevumu risināšanā.",2025-11-08,10,11,2025-12-09,15,2025-12-05
lv.avg.2025-26.7a,RatioProportion,0.8,lv.avg.2025-26.7a#T04,"Lineāri vienādojumi, to lietojums teksta uzdevumu risināšanā.",2025-11-08,10,11,2025-12-09,15,2025-12-05
lv.avg.2025-26.7a,PercentConcept,0.8,lv.avg.2025-26.7a#T04,"Lineāri vienādojumi, to lietojums teksta uzdevumu risināšanā.",2025-11-08,10,11,2025-12-09,15,2025-12-05
lv.avg.2025-26.7a,LinearInequality,1.0,lv.avg.2025-26.7a#T05,Lineāras nevienādības.,2025-12-09,15,12,2026-01-14,20,2026-01-07
lv.avg.2025-26.7a,InequalityRelation,0.7,lv.avg.2025-26.7a#T05,Lineāras nevienādības.,2025-12-09,15,12,2026-01-14,20,2026-01-07
lv.avg.2025-26.7a,BrokenLine,0.8,lv.avg.2025-26.7a#T06,"Trijstūris, tā elementi: Trijstūru vienādības pazīmes.",2026-01-19,21,1,2026-02-04,23,2026-01-21
lv.avg.2025-26.7a,Polygon,0.9,lv.avg.2025-26.7a#T06,"Trijstūris, tā elementi: Trijstūru vienādības pazīmes.",2026-01-19,21,1,2026-02-04,23,2026-01-21
lv.avg.2025-26.7a,PerimeterConcept,0.7,lv.avg.2025-26.7a#T06,"Trijstūris, tā elementi: Trijstūru vienādības pazīmes.",2026-01-19,21,1,2026-02-04,23,2026-01-21
lv.avg.2025-26.7a,Triangle,1.0,lv.avg.2025-26.7a#T06,"Trijstūris, tā elementi: Trijstūru vienādības pazīmes.",2026-01-19,21,1,2026-02-04,23,2026-01-21
lv.avg.2025-26.7a,TriangleInequality,0.9,lv.avg.2025-26.7a#T06,"Trijstūris, tā elementi: Trijstūru vienādības pazīmes.",2026-01-19,21,1,2026-02-04,23,2026-01-21
lv.avg.2025-26.7a,TriangleSpecialLines,0.9,lv.avg.2025-26.7a#T06,"Trijstūris, tā elementi: Trijstūru vienādības pazīmes.",2026-01-19,21,1,2026-02-04,23,2026-01-21
lv.avg.2025-26.7a,TriangleCongruence,1.0,lv.avg.2025-26.7a#T06,"Trijstūris, tā elementi: Trijstūru vienādības pazīmes.",2026-01-19,21,1,2026-02-04,23,2026-01-21
lv.avg.2025-26.7a,CoordinatePlane,0.9,lv.avg.2025-26.7a#T07,Lineāra funkcija.,2026-02-09,24,2,2026-02-24,26,2026-02-18
lv.avg.2025-26.7a,FunctionConcept,1.0,lv.avg.2025-26.7a#T07,Lineāra funkcija.,2026-02-09,24,2,2026-02-24,26,2026-02-18
lv.avg.2025-26.7a,LinearFunction,1.0,lv.avg.2025-26.7a#T07,Lineāra funkcija.,2026-02-09,24,2,2026-02-24,26,2026-02-18
lv.avg.2025-26.7a,FunctionGraph,0.9,lv.avg.2025-26.7a#T07,Lineāra funkcija.,2026-02-09,24,2,2026-02-24,26,2026-02-18
lv.avg.2025-26.7a,FiniteSet,0.8,lv.avg.2025-26.7a#T08,Ievads kombinatorikā un varbūtību teorijā.,2026-02-24,26,2,2026-03-25,30,2026-03-17
lv.avg.2025-26.7a,SubsetConcept,0.8,lv.avg.2025-26.7a#T08,Ievads kombinatorikā un varbūtību teorijā.,2026-02-24,26,2,2026-03-25,30,2026-03-17
lv.avg.2025-26.7a,SetUnion,0.9,lv.avg.2025-26.7a#T08,Ievads kombinatorikā un varbūtību teorijā.,2026-02-24,26,2,2026-03-25,30,2026-03-17
lv.avg.2025-26.7a,SetIntersection,0.9,lv.avg.2025-26.7a#T08,Ievads kombinatorikā un varbūtību teorijā.,2026-02-24,26,2,2026-03-25,30,2026-03-17
lv.avg.2025-26.7a,CountingSumRule,0.9,lv.avg.2025-26.7a#T08,Ievads kombinatorikā un varbūtību teorijā.,2026-02-24,26,2,2026-03-25,30,2026-03-17
lv.avg.2025-26.7a,CountingProductRule,0.9,lv.avg.2025-26.7a#T08,Ievads kombinatorikā un varbūtību teorijā.,2026-02-24,26,2,2026-03-25,30,2026-03-17
lv.avg.2025-26.7a,SampleSpace,0.8,lv.avg.2025-26.7a#T08,Ievads kombinatorikā un varbūtību teorijā.,2026-02-24,26,2,2026-03-25,30,2026-03-17
lv.avg.2025-26.7a,Probability,0.9,lv.avg.2025-26.7a#T08,Ievads kombinatorikā un varbūtību teorijā.,2026-02-24,26,2,2026-03-25,30,2026-03-17
lv.avg.2025-26.7a,TriangleAngleSum,1.0,lv.avg.2025-26.7a#T09,Vienādsānu un vienādmalu trijstūri.,2026-03-25,30,3,2026-04-08,32,
lv.avg.2025-26.7a,SpecialTriangles,0.9,lv.avg.2025-26.7a#T09,Vienādsānu un vienādmalu trijstūri.,2026-03-25,30,3,2026-04-08,32,
lv.avg.2025-26.7a,PerfectPowers,0.4,lv.avg.2025-26.7a#T10,Pakāpju īpašības.,2026-04-13,33,4,2026-05-20,38,2026-05-13
